MatchID,TeamHomeID,TeamAwayID,TeamHomeFormation,TeamAwayFormation,ResultOfTeamHome,Date
226,43,14,6,7,1,00:00.0
227,14,1,4,5,0,00:00.0
228,1,14,2,7,1,00:00.0
229,14,4,5,5,1,00:00.0
230,4,14,5,4,1,00:00.0
231,14,45,2,5,0,00:00.0
232,45,14,5,5,-1,00:00.0
233,14,52,2,6,1,00:00.0
234,52,14,2,7,1,00:00.0
235,110,14,2,2,1,00:00.0
236,14,110,17,5,0,00:00.0
237,14,56,2,5,0,00:00.0
238,56,14,2,4,1,00:00.0
239,14,80,2,8,0,00:00.0
240,80,14,8,2,1,00:00.0
241,6,14,2,5,1,00:00.0
242,14,6,4,8,0,00:00.0
243,35,14,2,2,-1,00:00.0
244,14,35,2,2,-1,00:00.0
245,111,14,13,5,0,00:00.0
246,14,111,7,4,-1,00:00.0
247,14,39,2,5,0,00:00.0
248,39,14,5,7,-1,00:00.0
249,1,43,6,6,-1,00:00.0
250,43,1,8,4,1,00:00.0
251,43,4,6,6,1,00:00.0
252,4,43,4,6,-1,00:00.0
253,43,45,6,6,1,00:00.0
254,45,43,2,6,-1,00:00.0
255,52,43,2,6,-1,00:00.0
256,43,52,6,2,1,00:00.0
257,43,110,6,2,1,00:00.0
258,110,43,2,6,0,00:00.0
259,56,43,5,8,1,00:00.0
260,43,56,6,6,0,00:00.0
261,43,80,4,5,1,00:00.0
262,80,43,8,8,1,00:00.0
263,6,43,6,6,-1,00:00.0
264,43,6,6,6,1,00:00.0
265,35,43,2,8,0,00:00.0
266,43,35,6,5,1,00:00.0
267,43,111,6,4,1,00:00.0
268,111,43,2,6,-1,00:00.0
269,43,39,6,5,1,00:00.0
270,39,43,5,6,-1,00:00.0
271,1,4,2,6,0,00:00.0
272,4,1,2,2,1,00:00.0
273,1,45,2,5,1,00:00.0
274,45,1,2,2,-1,00:00.0
275,52,1,6,2,-1,00:00.0
276,1,52,2,5,1,00:00.0
277,110,1,2,2,0,00:00.0
278,1,110,2,2,1,00:00.0
279,1,56,2,2,0,00:00.0
280,56,1,7,5,-1,00:00.0
281,80,1,5,2,-1,00:00.0
282,1,80,2,8,1,00:00.0
283,1,6,2,6,1,00:00.0
284,6,1,2,2,-1,00:00.0
285,35,1,6,2,0,00:00.0
286,1,35,2,7,1,00:00.0
287,1,111,2,11,1,00:00.0
288,111,1,11,2,1,00:00.0
289,1,39,2,2,1,00:00.0
290,39,1,5,2,-1,00:00.0
291,45,4,2,2,1,00:00.0
292,4,45,3,5,1,00:00.0
293,52,4,4,2,0,00:00.0
294,4,52,2,2,1,00:00.0
295,110,4,2,2,-1,00:00.0
296,4,110,4,2,1,00:00.0
297,56,4,5,5,-1,00:00.0
298,4,56,2,5,0,00:00.0
299,4,80,2,8,0,00:00.0
300,80,4,8,4,-1,00:00.0
301,4,6,2,8,0,00:00.0
302,6,4,2,2,1,00:00.0
303,4,35,2,2,-1,00:00.0
304,35,4,5,2,-1,00:00.0
305,4,111,2,4,1,00:00.0
306,111,4,11,4,1,00:00.0
307,39,4,2,2,-1,00:00.0
308,4,39,2,5,0,00:00.0
309,45,52,2,8,1,00:00.0
310,52,45,6,2,-1,00:00.0
311,45,110,3,2,0,00:00.0
312,110,45,2,5,1,00:00.0
313,45,56,5,6,1,00:00.0
314,56,45,6,2,1,00:00.0
315,45,80,5,8,1,00:00.0
316,80,45,8,2,-1,00:00.0
317,45,6,6,7,-1,00:00.0
318,6,45,2,2,-1,00:00.0
319,45,35,2,2,-1,00:00.0
320,35,45,6,2,-1,00:00.0
321,111,45,5,3,0,00:00.0
322,45,111,3,13,0,00:00.0
323,39,45,2,2,0,00:00.0
324,45,39,2,2,1,00:00.0
325,110,52,2,8,-1,00:00.0
326,52,110,7,2,1,00:00.0
327,52,56,4,8,-1,00:00.0
328,56,52,6,2,1,00:00.0
329,80,52,8,6,0,00:00.0
330,52,80,5,8,1,00:00.0
331,6,52,6,4,1,00:00.0
332,52,6,5,8,1,00:00.0
333,52,35,6,6,0,00:00.0
334,35,52,2,5,1,00:00.0
335,111,52,4,8,1,00:00.0
336,52,111,2,8,1,00:00.0
337,39,52,2,4,-1,00:00.0
338,52,39,2,6,-1,00:00.0
339,56,110,6,2,1,00:00.0
340,110,56,2,6,-1,00:00.0
341,80,110,8,2,1,00:00.0
342,110,80,2,8,1,00:00.0
343,110,6,2,6,1,00:00.0
344,6,110,6,2,0,00:00.0
345,35,110,6,2,-1,00:00.0
346,110,35,2,5,-1,00:00.0
347,110,111,2,4,0,00:00.0
348,111,110,6,2,1,00:00.0
349,39,110,2,2,0,00:00.0
350,110,39,2,2,1,00:00.0
351,80,56,8,8,0,00:00.0
352,56,80,6,8,1,00:00.0
353,6,56,6,5,1,00:00.0
354,56,6,6,8,0,00:00.0
355,56,35,6,2,0,00:00.0
356,35,56,5,5,1,00:00.0
357,56,111,6,4,-1,00:00.0
358,111,56,17,7,-1,00:00.0
359,39,56,2,2,1,00:00.0
360,56,39,6,2,0,00:00.0
361,80,6,8,7,0,00:00.0
362,6,80,5,8,1,00:00.0
363,80,35,8,2,1,00:00.0
364,35,80,2,8,-1,00:00.0
365,80,111,8,8,0,00:00.0
366,111,80,10,8,-1,00:00.0
367,39,80,2,5,0,00:00.0
368,80,39,13,2,0,00:00.0
369,35,6,6,2,-1,00:00.0
370,6,35,2,5,1,00:00.0
371,111,6,4,8,-1,00:00.0
372,6,111,6,5,1,00:00.0
373,39,6,2,2,-1,00:00.0
374,6,39,6,5,0,00:00.0
375,35,111,2,4,-1,00:00.0
376,111,35,5,4,0,00:00.0
377,35,39,5,5,1,00:00.0
378,39,35,2,5,-1,00:00.0
379,39,111,5,4,1,00:00.0
380,111,39,10,2,1,00:00.0
